Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яремко,Григорій,Демидович,чоловік,1947-09-15,Круп'є,селище Олександрія,"шосе Тимірязєва 3-й, буд. 1, Рубіжне, 28084",+380 51 250 56 54,caleksandrenko@example.net
Ящук,Алевтин,Гаврилович,чоловік,1987-04-27,Ґрунтознавець,місто Мелітополь,"вулиця Кустанайська, буд. 451 кв. 046, Устилуг, 94714",+380 45 503-03-45,tesliamartyn@example.net
Тесля,Мартин,Орестович,чоловік,1941-08-28,Стиліст,селище Гірське,"набережна Мелітопольська, буд. 8, Вугледар, 58540",053 089 77 12,iaremaostap@example.com
Карпенко,Богодар,Захарович,чоловік,1941-06-11,Золотар,селище Калуш,"проспект Локомотивний 2-й, буд. 466 кв. 23, Куп'янськ, 92629",424-54-31,viktorbaklan@example.net
Шутько,Миколай,Венедиктович,чоловік,1948-03-03,Секретар,хутір Кременець,"парк Леонтовича, буд. 67, Горохів, 67241",549-68-69,iaryna76@example.org
Журба,Богдан,Едуардович,чоловік,1945-10-08,Мовознавець,місто Авдіївка,"провулок Студентський 2-й, буд. 903, Брянка, 94982",057 738-65-30,matiashihor@example.net
Захаренко,Климент,Прохорович,чоловік,1998-08-29,Кіноактор,село Полонне,"набережна Лиманчик 2-й Лінія 11-та, буд. 40, Бахчисарай, 81639",+380 78 414 57 74,kolesnychenkodavyd@example.org
Гайдамака,Варфоломій,Устимович,чоловік,2005-08-06,Сантехнік,хутір Калуш,"вулиця Маршала Бабаджаняна, буд. 5 кв. 7, Калуш, 34456",+380 (61) 465-96-23,ievdokymenkosvitlana@example.org
Масоха,Юстим,Теодорович,чоловік,1973-12-09,Парфюмер,селище Балаклія,"набережна Карпатська, буд. 50 кв. 8, Тернівка , 86735",005-89-22,oksanadavydenko@example.org
Олійник,Гаврило,Прохорович,чоловік,1958-12-03,Біолог,хутір Снігурівка,"парк 13-та Суворовська, буд. 29 кв. 6, Погребище, 57839",+380 26 400-44-12,boryslav19@example.com
Височан,Теодор,Владиславович,чоловік,1975-07-18,Дизайнер,місто Костянтинівка,"проспект Венгера, буд. 431 кв. 25, Бобровиця, 34103",+380 54 438-06-70,bevzenkozlatoslava@example.net
Царенко,Зиновій,Омелянович,чоловік,1978-11-28,Електромонтер,хутір Новгород-Сіверський,"узвіз Тарутинська, буд. 013 кв. 1, Гребінка, 25477",+380 52 394-26-76,terezaiurchuk@example.net
Карась,Дмитро,Веніяминович,чоловік,1987-02-27,Детектив,селище Могилів-Подільський,"площа Польський узвіз, буд. 39 кв. 3, Київ, 87485",+380 66 223-70-90,roman26@example.net
Палій,Назар,Богуславович,чоловік,1985-04-30,Доцент,хутір Березівка,"узвіз Людмили Гінзбург, буд. 00 кв. 372, Новоазовськ, 97502",046-15-86,lytvynviktoriia@example.com
Рудько,Демʼян,Августинович,чоловік,1973-10-06,Історик,місто Олександрівськ,"площа Щоглова, буд. 47 кв. 6, Сторожинець, 94459",093-38-17,vasylynabatiuk@example.net
Андрійчук,Іван,Адамович,чоловік,1987-04-28,Електромонтажник,село Українськ,"парк Шахтинський, буд. 7, Глухів, 26517",033 163 71 23,milienko@example.com
Асаула,Спас,Станіславович,чоловік,1969-03-13,Доцент,хутір Куп'янськ,"вулиця Яші Гордієнка, буд. 37, Скадовськ, 68752",+380 00 688-76-81,orest38@example.net
Баранник,Георгій,Костянтинович,чоловік,1973-10-05,Машиніст,місто Балаклія,"шосе 4-та Лінія Марії Демченко, буд. 0, Полтава, 02118",+380 35 897-59-50,anita72@example.com
Чуйко,Варфоломій,Амвросійович,чоловік,1979-04-30,Етнограф,хутір Старий Самбір,"провулок Азовський, буд. 0, Старий Крим, 94441",+380 98 957-85-31,artemmedvedenko@example.com
Власюк,Захар,Богуславович,чоловік,1946-05-29,Золотар,селище Корюківка,"набережна Дворянська, буд. 4 кв. 044, Красилів, 09476",068 872-95-59,nadiia89@example.org
Чміль,Арсен,Омелянович,чоловік,1952-04-30,Ріелтор,село Ірміно,"вулиця Бреуса, буд. 45 кв. 88, Копичинці, 18349",027 922-79-43,ivaniemets@example.com
Приходько,Костянтин,Станіславович,чоловік,1945-01-16,Ювелір,селище Баштанка,"узвіз Курортний, буд. 7 кв. 60, Тячів, 67152",470 31 69,liza00@example.com
Джунь,Єлисей,Михайлович,чоловік,1953-09-12,Інженер,село Енергодар,"проспект Компасний, буд. 32 кв. 41, Жданівка, 63843",+380 34 193-01-36,fbatiuk@example.org
Вдовенко,Демʼян,Демʼянович,чоловік,1994-10-09,Програміст,село Березівка,"шосе Олександра Невського 4-й, буд. 5, Сіверськ, 04757",186-90-02,aredko@example.com
Бабко,Ростислав,Юхимович,чоловік,1969-12-12,Скульптор,місто Красноперекопськ,"шосе Єврейська, буд. 21 кв. 394, Путивль, 66483",+380 (56) 141-00-72,viktoriia47@example.org
Андрієнко,Пармен,Степанович,чоловік,1976-08-26,Математик,місто Рахів,"проспект Онілової, буд. 222, Балаклія, 22977",039 188-98-75,omelian29@example.com
Пилипенко,Аарон,Григорійович,чоловік,1940-12-02,Ріелтор,село Алушта,"узвіз Ванцетті, буд. 8, Нове Давидково, 14931",007 893-08-02,stefan71@example.com
Франко,Яків,Ярославович,чоловік,1940-10-28,Мінералог,селище Житомир,"сквер Пересипська 3-тя, буд. 316, Яремче, 23188",066 897-27-98,fandrusenko@example.net
Міщенко,Антон,Святославович,чоловік,1946-07-07,Паралегал,хутір Берестечко,"проспект Зої Космодем’янської, буд. 804 кв. 97, Благовіщенське, 63421",+380 (29) 739-86-82,ebezditko@example.com
Сомко,Руслан,Романович,чоловік,1997-04-24,Детектив,селище Миколаїв,"набережна Флотський 1-й, буд. 626 кв. 90, Баштанка, 87240",600-55-70,kybkalopanas@example.net
Ґалаґан,Герман,Іванович,чоловік,2007-12-16,Промисловець,село Жидачів,"узвіз Аеропортівський 6-й, буд. 340 кв. 81, Одеса, 85314",649-18-66,liudmyla28@example.net
Артимович,Охрім,Алевтинович,чоловік,1969-09-08,Реабілітолог,хутір Сторожинець,"шосе Шкільний, буд. 109 кв. 35, Перемишляни, 10222",+380 77 885-51-93,iandriishyn@example.org
Непорожній,Омелян,Романович,чоловік,1999-04-20,Геофізик,село Зугрес,"площа Дубовий гай, буд. 627, Малин, 54494",265 36 92,makarkarpa@example.net
Вишиваний,Герман,Веніяминович,чоловік,1962-02-26,Композитор,хутір Васильків,"провулок Восьмого березня 8-й, буд. 06, Алмазна, 07333",103 32 17,violettabezborodko@example.com
Рябець,Захар,Стефанович,чоловік,1943-06-29,Євнух,місто Сокаль,"провулок Чорноморський, буд. 890 кв. 13, Лозова , 53517",999-36-77,serhiirudko@example.net
Хоменко,Орест,Назарович,чоловік,1962-07-15,Ветеринар,селище Долина ,"проспект Пролетарський 3-й, буд. 626 кв. 4, Кальміуське, 72860",062 365 17 98,hresleonid@example.net
Ковпак,Дмитро,Семенович,чоловік,1939-03-08,Мовознавець,селище Старий Самбір,"узвіз Хімічний 2-й, буд. 556 кв. 067, Біляївка, 32275",+380 (42) 599-06-42,haidaiada@example.com
